mode: set
golang-api/user_repository.go:10.52,15.2 1 1
golang-api/user.go:159.16,162.3 2 0
golang-api/user.go:167.85,169.16 2 1
golang-api/user.go:172.2,173.45 2 1
golang-api/user.go:177.2,184.16 3 1
golang-api/user.go:188.2,189.34 2 1
golang-api/user.go:169.16,170.13 1 0
golang-api/user.go:173.45,176.3 2 0
golang-api/user.go:184.16,187.3 2 0
golang-api/user.go:192.88,194.16 2 1
golang-api/user.go:197.2,198.43 2 1
golang-api/user.go:202.2,210.16 4 1
golang-api/user.go:214.2,215.37 2 1
golang-api/user.go:194.16,195.13 1 0
golang-api/user.go:198.43,201.3 2 0
golang-api/user.go:210.16,213.3 2 0
golang-api/user.go:218.81,220.16 2 1
golang-api/user.go:223.2,224.45 2 1
golang-api/user.go:228.2,229.16 2 1
golang-api/user.go:232.2,232.25 1 1
golang-api/user.go:236.2,243.16 3 1
golang-api/user.go:247.2,248.50 2 1
golang-api/user.go:220.16,221.13 1 0
golang-api/user.go:224.45,227.3 2 0
golang-api/user.go:229.16,230.13 1 0
golang-api/user.go:232.25,233.36 1 0
golang-api/user.go:243.16,246.3 2 0
golang-api/user.go:251.78,253.16 2 1
golang-api/user.go:256.2,257.45 2 1
golang-api/user.go:261.2,262.16 2 1
golang-api/user.go:265.2,265.26 1 1
golang-api/user.go:269.2,276.16 3 1
golang-api/user.go:280.2,281.50 2 1
golang-api/user.go:253.16,254.13 1 0
golang-api/user.go:257.45,260.3 2 0
golang-api/user.go:262.16,263.13 1 0
golang-api/user.go:265.26,266.38 1 0
golang-api/user.go:276.16,279.3 2 0
golang-api/user.go:284.96,287.16 3 1
golang-api/user.go:291.2,292.16 2 1
golang-api/user.go:296.2,296.30 1 1
golang-api/user.go:304.2,306.48 3 1
golang-api/user.go:287.16,290.3 2 0
golang-api/user.go:292.16,295.3 2 0
golang-api/user.go:296.30,298.3 1 1
golang-api/user.go:298.8,298.60 1 1
golang-api/user.go:298.60,300.3 1 1
golang-api/user.go:300.8,303.3 2 1
golang-api/user.go:309.98,312.16 3 1
golang-api/user.go:316.2,317.16 2 1
golang-api/user.go:321.2,321.30 1 1
golang-api/user.go:329.2,331.50 3 1
golang-api/user.go:312.16,315.3 2 0
golang-api/user.go:317.16,320.3 2 0
golang-api/user.go:321.30,323.3 1 1
golang-api/user.go:323.8,323.62 1 0
golang-api/user.go:323.62,325.3 1 0
golang-api/user.go:325.8,328.3 2 0
golang-api/user.go:334.52,337.2 2 1
